Sr No,IP Trigger
1,"Copy  object and Impart new function or property

Ex: Copy fan blade to cancel acoustic noise, Copy battery electrode for high discharge currents, create second screen desktop environment on laptop, Immersive, Augmented ,Virtual Reality applications"
2,"Increase/ Expand  Degrees of Freedom for geometry , Form, Shape, Convolutions, Size in X, Y, Z, R, θ direction

Ex: Curved Solar Panel, Twisted Aerodynamic Blades, Corrugated sheets for high strength
"
3,"Make Static Parts Movable / Variable

Ex: Collapsible Landing Gears, Adjustable steering /seatings in car, flow control valves"
4,"Use Active Electric  Fields for Energy Source (Electric,Electrostatic, Magnetic, Electromagnetic, Solar)

Ex:Solar powered Electric heater, Electric Vehicles, LiDAR, Magnetic Coupling, Passive Radiative Cooling"
5,"Use High Density Energy  Source or More than one Energy Source ( Gravity, Pressure, Thermal, Chemical,  Hydraulic, Pnuematic, Flow, Electric)

Ex: Electric Hybrids, Lithium electrodes, High Temperature Thermodynamic cycles"
6,"Use advanced material properties. Integrate more materials or their properties

Ex: Light Weight Composites, High Entropy Alloy, Type-IV Hydrogent Storage Cylinder,"
7,"Use Active  Energy fields for Controlling objects ( Gravity, Thermal, Chemical,  Hydraulic, Pnuematic, Rotational, Flow, Biological)

Ex: Front Loaded Washing Machine (Gravity based), Quicklime mixes with water to heat food, DNA Based Data Storage, Nueromorphological Chip for AI "
8,"Engage Available Substance, Dimensions, Information and Energy  Resources

Ex: Na-ion battery, Use sensor information for progostics or diagnostics,  Use Air as cathode for Li-Air battery, Waste Thermal Energy in Data Center is Used for adsorption chillers"
9,"Segment or Divide the object, system or function into smaller components

Ex: Coal is crushed / Fuel is atomized for efficient combustion, Railway is segmented into coaches for managing turning radius, 3D Priniting, Modular Design to plug and remove components"
10,"Increase Dynamism, Real Time, Deeper, Direct, Local Control of the system 

Ex:  Quantum simulation for Drug discovery , Low Earth Orbit Satellites for accurate readings,  Variable Frquency Drive for motors, Active noise cancellation,
"
11,"Use coatings on the base material or structure

Ex: Catalytic Coating on substrate, Anti Corrosion coating on metals, friction coating for rubbing surfaces"
12,"Use Smart Material which changes properties with external stiumuls

Ex: Rehelogical fluid with controllable viscosity , Electro Catalysts, Non Newtonian Fluid"
13,"Use more information sources / sensors across object / structure to make decision
Ex: Digital Twin / iOT,  Open Supply Chain for food with Blockchain of information at every stage, Digestible Sensors for Body,  Use physical sensors information during AI training"
14,"Add new function, feature and property to object to serve system / supersystem objectives
Ex: Engine also acts as Brake for vehicle, A noise fog is added to signal for robust encryption, Add function of warming water to water filter. "
15,"Increase bandwidth or  rate of decisions made for a control algorithm or unit

Ex: High clock speed & response time in F1 cars, 6G Network, Adaptive control for real time optimization, Wide Bandgap Semiconductors"
16,"Modify or reverse the root cause itself to solve the problem 

Ex: Nail seals Tubeless Tyre rather than puncturing it, Self Healing Polymers, 4D Biopriniting with Self Healing Tissues,  Fibre Optics cable with every interaction reflects the light ahead "
17,"Perform the action at micro / nano scales 
ex. Quantum Dots for Solar cell,  Vaccination, Small Modular Reactors , sub 3nm semiconductor chip, carnon Nano tubes, microfluidic cooling of GPU chips"
18,"Modify  the object to peform functions of immediate neighbours

Ex: Motor also works as generator in Hybrid. Wheel also functioning as Tyre, Washing machine also has dryer, Solar Panel with battery storage"
19,"Modify the object to perform or support Supersystem functions

ex. Mobile functioning as camera, calculator, social networking , Pen with pointer, scanner, memory. Car equipped with Tour Guide feature"
20,"Convert Waste Energy /Objects into Use during or off the mission

Ex: Regenerative Braking,  Second Usasage of Battery, Use Coal Ash into Construction materials"
